Version,"RVGL 23.1030a1","P2P","Client"
Session,"08/01/26 23:40:32","Coordinator","Arcade",4,"true"
Results,"Galaxy World 2",20
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BONCZY","Megalodon XL","03:02:754","00:41:117","true","false"
02,"VALI2WD","Stinger","03:04:478","00:44:051","true","false"
03,"JIBANYAN","Selsia Turbo","03:10:256","00:43:365","true","false"
04,"OLD TURTLE","P4 Super","03:11:258","00:44:866","true","false"
05,"TOOL","Cambold R","03:12:757","00:46:722","true","false"
06,"FLYBOY","Stinger","03:13:472","00:44:456","true","false"
07,"RADIANCER","Starmac","03:16:362","00:45:007","true","false"
08,"SUPERDALMATAXD","Raven","03:18:982","00:44:671","true","false"
09,"MARIS EDVAN","Alter","03:25:709","00:45:594","true","false"
10,"JJ","Golden Eye","03:31:238","00:47:752","true","false"
11,"SQ","BLK","03:32:165","00:49:877","true","false"
12,"GUARANA","P4 Super","03:33:452","00:45:799","true","false"
13,"GANESH","Endo","03:38:308","00:47:344","true","false"
14,"AHMA","Napalm","03:42:085","00:50:660","true","false"
15,"ZON","Nakajima","03:43:593","00:47:902","true","false"
16,"^4BLUEWAVE","P4 Super","03:46:794","00:47:317","true","false"
17,"MINICOPPER","Orion","03:51:191","00:50:769","true","false"
18,"SSANGYONG","Gungnir","03:53:405","00:50:771","true","false"
19,"TACO","AMW","03:54:695","00:51:131","true","false"
20,"FIREN","King Moloko","04:05:372","00:56:546","true","false"
Results,"Museum 1",21
#,Player,Car,Time,BestLap,Finished,Cheating
01,"JIBANYAN","Selsia Turbo","02:42:833","00:51:339","true","false"
02,"RADIANCER","Starmac","03:02:552","00:53:483","true","false"
03,"GANESH","Endo","03:10:132","01:01:041","true","false"
04,"FLYBOY","Stinger","03:13:597","00:57:690","true","false"
05,"VALI2WD","Stinger","03:14:792","00:59:473","true","false"
06,"BONCZY","Megalodon XL","03:15:504","00:58:522","true","false"
07,"^4BLUEWAVE","P4 Super","03:18:067","00:59:967","true","false"
08,"SUPERDALMATAXD","Raven","03:20:596","01:00:362","true","false"
09,"MARIS EDVAN","Alter","03:20:619","01:02:474","true","false"
10,"TOOL","Cambold R","03:24:247","01:04:334","true","false"
11,"AHMA","Napalm","03:26:332","00:58:548","true","false"
12,"[HTZK]N3BULAR","Orbitron","03:29:011","01:00:397","true","false"
13,"SQ","BLK","03:30:437","01:07:406","true","false"
14,"FIREN","King Moloko","03:32:052","01:08:718","true","false"
15,"JJ","Stinger","03:32:274","01:04:337","true","false"
16,"ZON","Prototype FX77","03:32:837","01:06:179","true","false"
17,"SSANGYONG","Gungnir","03:32:852","01:08:396","true","false"
18,"GUARANA","P4 Super","03:33:140","01:06:288","true","false"
19,"OLD TURTLE","P4 Super","03:34:964","01:06:238","true","false"
20,"TACO","AMW","03:37:756","01:07:220","true","false"
21,"MINICOPPER","Orion","03:48:954","01:05:721","true","false"
Results,"The Bunker",22
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BONCZY","Megalodon XL","02:57:156","00:33:563","true","false"
02,"RADIANCER","Starmac","02:57:580","00:32:969","true","false"
03,"GANESH","Endo","03:10:459","00:35:146","true","false"
04,"FLYBOY","Stinger","03:11:102","00:34:974","true","false"
05,"JIBANYAN","Selsia Turbo","03:16:431","00:37:524","true","false"
06,"MARIS EDVAN","Alter","03:17:102","00:36:302","true","false"
07,"VALI2WD","Stinger","03:19:883","00:36:917","true","false"
08,"SQ","BLK","03:21:534","00:37:648","true","false"
09,"TOOL","Cambold R","03:29:046","00:37:669","true","false"
10,"JJ","Stinger","03:29:233","00:38:790","true","false"
11,"SUPERDALMATAXD","Raven","03:30:379","00:39:289","true","false"
12,"AHMA","Napalm","03:31:285","00:36:088","true","false"
13,"^4BLUEWAVE","P4 Super","03:32:545","00:38:526","true","false"
14,"GUARANA","P4 Super","03:33:429","00:39:498","true","false"
15,"OLD TURTLE","P4 Super","03:36:306","00:38:845","true","false"
16,"ZON","Prototype FX77","03:40:124","00:39:575","true","false"
17,"[HTZK]N3BULAR","Orbitron","03:40:731","00:38:782","true","false"
18,"TACO","AMW","03:42:542","00:42:053","true","false"
19,"FIREN","Golden Eye","03:44:925","00:39:333","true","false"
20,"SSANGYONG","Gungnir","03:46:400","00:38:989","true","false"
21,"MINICOPPER","Orion","03:52:443","00:40:481","true","false"
22,"REVOLKEN","P4 Super","07:58:240","00:43:448","false","false"
Results,"Jailhouse Rock",23
#,Player,Car,Time,BestLap,Finished,Cheating
01,"^4BLUEWAVE","P4 Super","02:38:757","00:50:705","true","false"
02,"BONCZY","Megalodon XL","02:47:439","00:52:598","true","false"
03,"JIBANYAN","Selsia Turbo","02:49:984","00:54:268","true","false"
04,"TOOL","Cambold R","02:50:626","00:52:302","true","false"
05,"VALI2WD","Stinger","02:51:194","00:54:096","true","false"
06,"MARIS EDVAN","Alter","02:54:048","00:53:768","true","false"
07,"RADIANCER","Starmac","02:54:882","00:55:641","true","false"
08,"REVOLKEN","P4 Super","02:58:191","00:56:882","true","false"
09,"OLD TURTLE","P4 Super","02:58:823","00:56:778","true","false"
10,"ZON","Prototype FX77","03:01:332","00:55:090","true","false"
11,"GANESH","Endo","03:01:944","00:58:420","true","false"
12,"SSANGYONG","Gungnir","03:04:797","01:00:519","true","false"
13,"JJ","Stinger","03:04:976","00:59:198","true","false"
14,"FLYBOY","Stinger","03:05:309","00:58:086","true","false"
15,"AHMA","Napalm","03:06:347","00:59:689","true","false"
